,State,Month,Unemployment rate,New cases,New Deaths
0,Alabama,March,3.5,999.0,14.0
1,Alabama,April,12.9,6069.0,258.0
2,Alabama,May,9.6,10884.0,358.0
3,Alabama,June,7.5,20093.0,320.0
4,Alabama,July,7.9,49678.0,630.0
5,Alabama,Aug,5.6,38335.0,602.0
6,Alabama,Sept,6.6,28643.0,358.0
0,Alaska,March,5.6,133.0,2.0
1,Alaska,April,12.9,220.0,5.0
2,Alaska,May,12.7,116.0,1.0
3,Alaska,June,12.4,663.0,4.0
4,Alaska,July,11.6,2543.0,9.0
5,Alaska,Aug,7.4,2400.0,13.0
6,Alaska,Sept,7.2,2632.0,18.0
0,Arizona,March,5.5,1297.0,24.0
1,Arizona,April,12.6,6350.0,296.0
2,Arizona,May,9.0,12288.0,586.0
3,Arizona,June,10.0,59463.0,739.0
4,Arizona,July,10.6,94709.0,2050.0
5,Arizona,Aug,5.9,27758.0,1336.0
6,Arizona,Sept,6.7,16645.0,623.0
0,Arkansas,March,4.8,564.0,8.0
1,Arkansas,April,10.2,2717.0,53.0
2,Arkansas,May,9.6,3972.0,72.0
3,Arkansas,June,8.0,13524.0,137.0
4,Arkansas,July,7.1,21734.0,183.0
5,Arkansas,Aug,7.4,18713.0,344.0
6,Arkansas,Sept,7.3,22473.0,572.0
0,California,March,5.3,8555.0,184.0
1,California,April,15.5,41887.0,1873.0
2,California,May,16.4,62644.0,2185.0
3,California,June,14.9,119039.0,1841.0
4,California,July,13.3,270120.0,3139.0
5,California,Aug,11.4,210268.0,3798.0
6,California,Sept,11.0,108584.0,2878.0
0,Colorado,March,4.5,2990.0,69.0
1,Colorado,April,11.3,12217.0,706.0
2,Colorado,May,10.2,11157.0,670.0
3,Colorado,June,10.5,6334.0,245.0
4,Colorado,July,7.4,14250.0,151.0
5,Colorado,Aug,6.7,10849.0,111.0
6,Colorado,Sept,6.4,13293.0,109.0
0,Connecticut,March,3.7,3128.0,69.0
1,Connecticut,April,7.9,24572.0,2188.0
2,Connecticut,May,9.6,14501.0,1687.0
3,Connecticut,June,9.8,4313.0,378.0
4,Connecticut,July,10.2,3296.0,110.0
5,Connecticut,Aug,8.1,3069.0,33.0
6,Connecticut,Sept,7.8,4671.0,43.0
0,Delaware,March,5.1,319.0,10.0
1,Delaware,April,14.3,4415.0,142.0
2,Delaware,May,15.9,4764.0,214.0
3,Delaware,June,12.5,1976.0,143.0
4,Delaware,July,10.4,3314.0,76.0
5,Delaware,Aug,8.9,2641.0,20.0
