state,month,fips,cases,deaths,new_cases,new_deaths
Alabama,1,30,12459174,179087,94356.0,2739.0
Alabama,3,19,6129,42,999.0,14.0
Alabama,4,30,125166,4044,6069.0,258.0
Alabama,5,31,372033,14438,10884.0,358.0
Alabama,6,30,800287,23697,20093.0,320.0
Alabama,7,31,1918336,38436,49678.0,630.0
Alabama,8,31,3355858,58883,38335.0,602.0
Alabama,9,30,4227298,71419,28643.0,358.0
Alabama,10,31,5332670,85064,37584.0,427.0
Alabama,11,30,6584507,98538,57239.0,611.0
Alabama,12,31,9513716,131827,111702.0,1249.0
Alaska,1,60,1528049,6813,7111.0,55.0
Alaska,3,40,851,8,133.0,2.0
Alaska,4,60,8231,173,220.0,5.0
Alaska,5,62,12256,243,116.0,1.0
Alaska,6,60,23003,291,663.0,4.0
Alaska,7,62,67633,496,2543.0,9.0
Alaska,8,62,154871,843,2400.0,13.0
Alaska,9,60,220233,1265,2632.0,18.0
Alaska,10,62,367261,1890,7540.0,25.0
Alaska,11,60,721036,2802,16160.0,38.0
Alaska,12,62,1278752,5136,14333.0,83.0
Arizona,1,144,19698025,329548,232199.0,4232.0
Arizona,2,116,29,0,0.0,0.0
Arizona,3,124,6830,118,1297.0,24.0
Arizona,4,120,128668,4870,6350.0,296.0
Arizona,5,124,417110,19864,12288.0,586.0
Arizona,6,120,1297231,37510,59463.0,739.0
Arizona,7,124,4105142,79906,94709.0,2050.0
Arizona,8,124,5951480,138063,27758.0,1336.0
Arizona,9,120,6320568,161423,16645.0,623.0
Arizona,10,124,7142027,179976,27451.0,325.0
Arizona,11,120,8449500,189527,81084.0,661.0
Arizona,12,124,13328487,237564,196783.0,2239.0
Arkansas,1,150,7951907,128073,69249.0,1162.0
Arkansas,3,105,3965,36,564.0,8.0
Arkansas,4,150,53571,1007,2717.0,53.0
Arkansas,5,155,150100,3137,3972.0,72.0
Arkansas,6,150,402154,5895,13524.0,137.0
Arkansas,7,155,972426,10829,21734.0,183.0
Arkansas,8,155,1633930,19077,18713.0,344.0
Arkansas,9,150,2173272,32549,22473.0,572.0
Arkansas,10,155,3025302,51328,28493.0,556.0
Arkansas,11,150,4031431,66765,45169.0,577.0
Arkansas,12,155,5960217,95245,67779.0,1174.0
California,1,222,86991510,988888,1001697.0,14729.0
California,2,174,285,0,25.0,0.0
California,3,186,55406,1113,8555.0,184.0
California,4,180,865585,30176,41887.0,1873.0
California,5,186,2476264,99379,62644.0,2185.0
California,6,180,4905111,155690,119039.0,1841.0
California,7,186,11404982,232621,270120.0,3139.0
California,8,186,19168697,349458,210268.0,3798.0
California,9,180,23157818,438311,108584.0,2878.0
California,10,186,27163983,522654,114123.0,1763.0
California,11,180,31809048,551791,301944.0,1548.0
California,12,186,53958843,683920,1070577.0,6756.0
Colorado,1,240,11140378,161228,60541.0,817.0
Colorado,3,216,18603,344,2990.0,69.0
Colorado,4,240,264026,11715,12217.0,706.0
Colorado,5,248,660633,35594,11157.0,670.0
Colorado,6,240,886415,48035,6334.0,245.0
Colorado,7,248,1215655,54290,14250.0,151.0
Colorado,8,248,1642292,58799,10849.0,111.0
Colorado,9,240,1909117,60271,13293.0,109.0
Colorado,10,248,2651624,67610,36754.0,248.0
Colorado,11,240,5058076,79208,126658.0,751.0
Colorado,12,248,9135593,127004,101077.0,1819.0
Connecticut,1,270,6650937,197020,64315.0,1051.0
Connecticut,3,216,14606,283,3128.0,69.0
Connecticut,4,270,467204,29752,24572.0,2188.0
Connecticut,5,279,1124193,101014,14501.0,1687.0
Connecticut,6,270,1348657,125398,4313.0,378.0
Connecticut,7,279,1483675,135762,3296.0,110.0
Connecticut,8,279,1585462,138000,3069.0,33.0
Connecticut,9,270,1651324,134566,4671.0,43.0
Connecticut,10,279,1961272,141104,13657.0,108.0
Connecticut,11,270,2784189,143360,46088.0,404.0
Connecticut,12,279,4793649,170624,68413.0,975.0
Delaware,1,300,2057423,30082,20095.0,155.0
Delaware,3,210,1887,31,319.0,10.0
Delaware,4,300,67480,1840,4415.0,142.0
Delaware,5,310,229386,8381,4764.0,214.0
Delaware,6,300,312601,13062,1976.0,143.0
Delaware,7,310,410198,16554,3314.0,76.0
Delaware,8,310,503506,18439,2641.0,20.0
Delaware,9,300,572135,18572,3184.0,31.0
Delaware,10,310,706558,20617,4338.0,72.0
Delaware,11,300,883967,22110,10703.0,64.0
Delaware,12,310,1466659,26058,21802.0,154.0
Florida,1,360,46165105,717321,390274.0,4687.0
Florida,3,372,35597,489,6742.0,85.0
Florida,4,360,671158,19495,26941.0,1182.0
Florida,5,372,1396018,59664,22472.0,1183.0
Florida,6,360,2637626,89605,96271.0,1054.0
Florida,7,372,9746638,149112,317952.0,3338.0
Florida,8,372,17469880,287667,153085.0,4344.0
Florida,9,360,20108236,385716,83045.0,3130.0
Florida,10,372,23278677,486884,96031.0,2444.0
Florida,11,360,26828632,528358,196772.0,1836.0
Florida,12,372,35950671,625248,323996.0,3076.0
Georgia,1,390,23201189,356278,237675.0,3188.0
Georgia,3,390,22119,699,4116.0,126.0
Georgia,4,390,453331,18051,21315.0,995.0
Georgia,5,403,1109472,48939,19620.0,898.0
Georgia,6,390,1734682,73197,32229.0,739.0
Georgia,7,403,3794129,96401,94062.0,916.0
Georgia,8,403,6755964,142202,82896.0,1832.0
Georgia,9,390,8427889,188261,47247.0,1355.0
Georgia,10,403,10651435,228370,71146.0,929.0
Georgia,11,390,12393149,260484,81697.0,1408.0
Georgia,12,403,16888026,307373,189737.0,1390.0
Hawaii,1,450,716843,9765,4249.0,118.0
Hawaii,3,390,1474,1,224.0,1.0
Hawaii,4,450,14988,274,385.0,15.0
Hawaii,5,465,19430,525,33.0,1.0
Hawaii,6,450,22303,514,259.0,1.0
Hawaii,7,465,41333,673,1187.0,7.0
Hawaii,8,465,156872,1257,6359.0,44.0
Hawaii,9,450,327696,3146,4108.0,66.0
Hawaii,10,465,433606,5681,2652.0,83.0
Hawaii,11,450,500379,6751,2799.0,24.0
Hawaii,12,465,611372,8405,3453.0,44.0
Idaho,1,480,4606754,47813,21374.0,289.0
Idaho,3,304,2359,34,526.0,9.0
Idaho,4,480,45937,1098,1490.0,54.0
Idaho,5,496,75057,2266,839.0,19.0
Idaho,6,480,116842,2628,3269.0,10.0
Idaho,7,496,412314,3800,14729.0,101.0
Idaho,8,496,848552,8590,11403.0,171.0
Idaho,9,480,1106607,12732,10293.0,105.0
Idaho,10,496,1634407,16628,22248.0,161.0
Idaho,11,480,2510599,23545,37361.0,307.0
Idaho,12,496,3855984,37822,39230.0,501.0
Illinois,1,646,31713381,593780,160610.0,3234.0
Illinois,2,493,59,0,1.0,0.0
Illinois,3,527,33167,450,5989.0,107.0
Illinois,4,510,802337,32642,46926.0,2254.0
Illinois,5,527,2822196,125228,67670.0,3065.0
Illinois,6,510,4025869,195076,24073.0,1710.0
Illinois,7,527,4987937,230706,36040.0,567.0
Illinois,8,527,6477545,247518,56981.0,555.0
Illinois,9,510,8067391,258320,59253.0,677.0
Illinois,10,527,10729137,293112,119622.0,1095.0
Illinois,11,510,17351219,341008,311268.0,2985.0
Illinois,12,527,26821457,487330,238015.0,4964.0
Indiana,1,540,17458714,277300,113614.0,1704.0
Indiana,3,468,10152,313,2177.0,61.0
Indiana,4,540,292473,16218,15922.0,1053.0
Indiana,5,558,857247,52744,17330.0,1020.0
Indiana,6,540,1241303,73069,11311.0,506.0
Indiana,7,558,1745006,86855,21060.0,325.0
Indiana,8,558,2546792,97177,28477.0,331.0
Indiana,9,540,3290139,103916,26018.0,336.0
Indiana,10,558,4586771,121734,59542.0,700.0
Indiana,11,540,7754614,150003,159857.0,1391.0
Indiana,12,558,13622860,218744,172761.0,2540.0
Iowa,1,570,9081415,128226,37398.0,760.0
Iowa,3,456,2794,26,498.0,7.0
Iowa,4,570,83724,1947,6647.0,155.0
Iowa,5,589,441186,10769,12476.0,375.0
Iowa,6,570,731691,19631,9531.0,180.0
Iowa,7,589,1152156,24212,15601.0,155.0
Iowa,8,589,1651099,30669,20499.0,248.0
Iowa,9,570,2312934,37216,23996.0,238.0
Iowa,10,589,3291856,47525,39550.0,358.0
Iowa,11,570,5542766,61570,101836.0,710.0
Iowa,12,589,8057514,102151,51078.0,1465.0
Kansas,1,600,7684161,100912,52168.0,1038.0
Kansas,3,500,2408,60,435.0,10.0
Kansas,4,600,55555,2241,3870.0,123.0
Kansas,5,620,241100,5676,5573.0,78.0
Kansas,6,600,355114,7457,4751.0,65.0
Kansas,7,620,663964,9654,13492.0,82.0
Kansas,8,620,1086757,12644,15286.0,93.0
Kansas,9,600,1554737,16808,17550.0,227.0
Kansas,10,620,2245140,26397,25814.0,351.0
Kansas,11,600,3684696,38850,73657.0,531.0
Kansas,12,620,6058556,67842,65027.0,1181.0
Kentucky,1,630,9662998,102616,96188.0,1011.0
Kentucky,3,546,3398,84,590.0,18.0
Kentucky,4,630,74780,3889,4118.0,222.0
Kentucky,5,651,234711,10848,5229.0,201.0
